,age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
21,48.0,Unmarried,14.0,21.0,Under $25,9.5,Economy,Some college,2.0,No,Less than 5,Neutral,Male,1.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
22,39.0,Married,17.0,17.0,Under $25,8.5,Economy,College degree,2.0,No,Less than 5,Neutral,Male,5.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
23,42.0,Married,5.0,34.0,$25 - $49,16.6,Standard,High school degree,13.0,No,5 to 15,Neutral,Female,4.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
24,45.0,Married,12.0,115.0,$75+,57.400000000000006,Luxury,Did not complete high school,27.0,No,More than 15,Somewhat satisfied,Female,5.0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
25,51.0,Married,10.0,47.0,$25 - $49,23.0,Standard,Did not complete high school,9.0,No,5 to 15,Neutral,Male,3.0,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
26,39.0,Married,9.0,33.0,$25 - $49,16.3,Standard,Some college,1.0,No,Less than 5,Highly dissatisfied,Male,4.0,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
27,49.0,Unmarried,29.0,135.0,$75+,68.4,Luxury,High school degree,14.0,No,5 to 15,Highly satisfied,Female,1.0,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
28,52.0,Unmarried,20.0,272.0,$75+,74.9,Luxury,Did not complete high school,35.0,No,More than 15,Highly satisfied,Male,1.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
29,53.0,Married,29.0,41.0,$25 - $49,19.900000000000002,Standard,Did not complete high school,9.0,No,5 to 15,Somewhat satisfied,Male,2.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
30,34.0,Unmarried,10.0,20.0,Under $25,10.0,Economy,Some college,0.0,No,Less than 5,Highly dissatisfied,Female,1.0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
31,47.0,Married,6.0,22.0,Under $25,11.4,Economy,Some college,7.0,No,5 to 15,Somewhat satisfied,Male,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,58.0,Unmarried,2.0,60.0,$50 - $74,29.700000000000003,Standard,College degree,1.0,No,Less than 5,Highly dissatisfied,Male,1.0,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
33,25.0,Married,0.0,58.0,$50 - $74,28.400000000000002,Standard,Some college,4.0,No,Less than 5,Somewhat dissatisfied,Female,5.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
34,57.0,Married,28.0,92.0,$75+,45.5,Luxury,High school degree,25.0,No,More than 15,Highly satisfied,Female,4.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
35,30.0,Married,7.0,21.0,Under $25,10.5,Economy,College degree,4.0,No,Less than 5,Highly dissatisfied,Male,2.0,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
36,21.0,Unmarried,0.0,13.0,Under $25,6.300000000000001,Economy,Some college,0.0,No,Less than 5,Highly dissatisfied,Female,2.0,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No
37,24.0,Unmarried,5.0,24.0,Under $25,11.8,Economy,High school degree,2.0,No,Less than 5,Neutral,Female,1.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
38,56.0,Unmarried,7.0,213.0,$75+,81.7,Luxury,College degree,30.0,No,More than 15,Somewhat satisfied,Female,1.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
39,24.0,Unmarried,2.0,19.0,Under $25,9.600000000000001,Economy,High school degree,0.0,No,Less than 5,Neutral,Male,1.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
40,41.0,Unmarried,13.0,59.0,$50 - $74,28.6,Standard,Some college,17.0,No,More than 15,Neutral,Male,1.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
41,57.0,Married,30.0,544.0,$75+,82.8,Luxury,High school degree,39.0,No,More than 15,Somewhat dissatisfied,Female,3.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
42,32.0,Unmarried,2.0,32.0,$25 - $49,15.700000000000001,Standard,High school degree,10.0,No,5 to 15,Highly satisfied,Male,6.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
43,24.0,Unmarried,5.0,35.0,$25 - $49,17.400000000000002,Standard,College degree,0.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
44,49.0,Married,12.0,35.0,$25 - $49,17.3,Standard,Did not complete high school,4.0,No,Less than 5,Neutral,Male,3.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45,21.0,Unmarried,0.0,22.0,Under $25,11.0,Economy,Some college,0.0,No,Less than 5,Highly dissatisfied,Female,2.0,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
46,33.0,Married,12.0,39.0,$25 - $49,19.400000000000002,Standard,High school degree,8.0,No,5 to 15,Somewhat dissatisfied,Female,5.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
47,56.0,Unmarried,12.0,134.0,$75+,67.2,Luxury,High school degree,19.0,No,More than 15,Neutral,Male,1.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
48,54.0,Married,16.0,103.0,$75+,51.2,Luxury,Did not complete high school,28.0,No,More than 15,Somewhat dissatisfied,Male,6.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
49,44.0,Married,8.0,240.0,$75+,75.2,Luxury,College degree,11.0,No,5 to 15,Neutral,Female,2.0,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
50,20.0,Unmarried,1.0,20.0,Under $25,9.5,Economy,High school degree,0.0,No,Less than 5,Somewhat dissatisfied,Male,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
51,47.0,Unmarried,15.0,118.0,$75+,59.800000000000004,Luxury,High school degree,26.0,No,More than 15,Highly satisfied,Male,1.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
52,48.0,Unmarried,15.0,78.0,$75+,38.0,Luxury,College degree,18.0,No,More than 15,Somewhat satisfied,Female,1.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
53,25.0,Unmarried,2.0,68.0,$50 - $74,33.5,Luxury,College degree,0.0,No,Less than 5,Somewhat dissatisfied,Female,3.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
54,52.0,Unmarried,13.0,27.0,$25 - $49,13.4,Economy,Did not complete high school,10.0,No,5 to 15,Somewhat dissatisfied,Male,1.0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
55,38.0,Married,0.0,19.0,Under $25,9.200000000000001,Economy,Did not complete high school,1.0,No,Less than 5,Highly dissatisfied,Female,2.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
56,65.0,Married,5.0,20.0,Under $25,10.100000000000001,Economy,High school degree,10.0,Yes,5 to 15,Neutral,Male,2.0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
57,28.0,Married,2.0,31.0,$25 - $49,15.600000000000001,Standard,Some college,0.0,No,Less than 5,Neutral,Male,2.0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
58,51.0,Married,28.0,51.0,$50 - $74,25.5,Standard,High school degree,9.0,No,5 to 15,Neutral,Male,4.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
59,61.0,Married,34.0,84.0,$75+,41.5,Luxury,High school degree,18.0,No,More than 15,Neutral,Male,2.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
60,46.0,Married,10.0,133.0,$75+,66.60000000000001,Luxury,Post-undergraduate degree,16.0,No,More than 15,Highly satisfied,Male,3.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
61,43.0,Married,8.0,109.0,$75+,54.6,Luxury,High school degree,20.0,No,More than 15,Neutral,Female,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
62,28.0,Unmarried,7.0,24.0,Under $25,12.5,Economy,Some college,2.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
63,39.0,Unmarried,6.0,57.0,$50 - $74,28.6,Standard,Some college,12.0,No,5 to 15,Somewhat dissatisfied,Female,1.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
64,37.0,Unmarried,16.0,24.0,Under $25,11.3,Economy,Some college,7.0,No,5 to 15,Highly dissatisfied,Male,2.0,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
65,59.0,Married,35.0,32.0,$25 - $49,15.9,Standard,High school degree,0.0,No,Less than 5,Highly dissatisfied,Male,2.0,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
66,55.0,Unmarried,29.0,65.0,$50 - $74,31.5,Luxury,College degree,10.0,No,5 to 15,Somewhat satisfied,Female,1.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
67,51.0,Married,20.0,70.0,$50 - $74,35.6,Luxury,Some college,8.0,No,5 to 15,Neutral,Male,2.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
68,48.0,Married,28.0,321.0,$75+,65.9,Luxury,Post-undergraduate degree,11.0,No,5 to 15,Somewhat satisfied,Male,2.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
69,40.0,Unmarried,4.0,71.0,$50 - $74,35.1,Luxury,Some college,6.0,No,5 to 15,Somewhat dissatisfied,Male,3.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
70,28.0,Unmarried,3.0,35.0,$25 - $49,17.3,Standard,Some college,6.0,No,5 to 15,Highly satisfied,Female,1.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
71,39.0,Married,16.0,85.0,$75+,44.0,Luxury,High school degree,21.0,No,More than 15,Highly satisfied,Male,6.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
72,30.0,Married,0.0,20.0,Under $25,9.700000000000001,Economy,Some college,3.0,No,Less than 5,Somewhat satisfied,Female,4.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
73,40.0,Married,5.0,33.0,$25 - $49,16.400000000000002,Standard,Some college,15.0,No,More than 15,Highly satisfied,Female,4.0,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
74,55.0,Unmarried,18.0,35.0,$25 - $49,17.2,Standard,College degree,2.0,No,Less than 5,Somewhat dissatisfied,Female,1.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
75,48.0,Married,0.0,50.0,$50 - $74,25.200000000000003,Standard,High school degree,11.0,No,5 to 15,Neutral,Female,4.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
76,48.0,Married,4.0,1116.0,$75+,74.1,Luxury,College degree,22.0,No,More than 15,Highly satisfied,Male,4.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
77,49.0,Married,19.0,89.0,$75+,44.7,Luxury,High school degree,25.0,No,More than 15,Highly satisfied,Female,2.0,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
78,56.0,Unmarried,34.0,376.0,$75+,64.9,Luxury,Did not complete high school,35.0,No,More than 15,Highly satisfied,Female,1.0,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
79,44.0,Unmarried,22.0,54.0,$50 - $74,27.3,Standard,Did not complete high school,21.0,No,More than 15,Neutral,Male,1.0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
80,43.0,Unmarried,12.0,68.0,$50 - $74,32.9,Luxury,High school degree,15.0,No,More than 15,Neutral,Male,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
81,61.0,Married,12.0,117.0,$75+,60.400000000000006,Luxury,College degree,5.0,No,5 to 15,Somewhat satisfied,Female,3.0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
82,37.0,Unmarried,18.0,29.0,$25 - $49,14.5,Economy,Post-undergraduate degree,4.0,No,Less than 5,Somewhat satisfied,Male,1.0,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
83,29.0,Married,2.0,25.0,$25 - $49,12.5,Economy,High school degree,10.0,No,5 to 15,Somewhat dissatisfied,Male,2.0,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
84,30.0,Married,10.0,27.0,$25 - $49,13.100000000000001,Economy,Did not complete high school,3.0,No,Less than 5,Somewhat dissatisfied,Female,4.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
85,48.0,Unmarried,7.0,129.0,$75+,65.5,Luxury,Some college,20.0,No,More than 15,Highly satisfied,Male,1.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
86,51.0,Married,24.0,140.0,$75+,70.60000000000001,Luxury,Did not complete high school,32.0,No,More than 15,Somewhat satisfied,Male,2.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
87,40.0,Married,15.0,57.0,$50 - $74,29.5,Standard,College degree,12.0,No,5 to 15,Neutral,Male,2.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
88,66.0,Married,34.0,30.0,$25 - $49,15.5,Standard,Did not complete high school,4.0,No,Less than 5,Somewhat satisfied,Female,4.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
89,61.0,Married,18.0,23.0,Under $25,11.3,Economy,High school degree,27.0,Yes,More than 15,Somewhat satisfied,Male,3.0,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
90,61.0,Married,6.0,64.0,$50 - $74,32.0,Luxury,Some college,25.0,No,More than 15,Highly satisfied,Female,2.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
91,32.0,Married,10.0,26.0,$25 - $49,12.200000000000001,Economy,Some college,5.0,No,5 to 15,Somewhat satisfied,Male,6.0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
92,25.0,Unmarried,6.0,27.0,$25 - $49,13.4,Economy,High school degree,1.0,No,Less than 5,Highly dissatisfied,Male,1.0,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
93,47.0,Unmarried,1.0,28.0,$25 - $49,13.700000000000001,Economy,Some college,8.0,No,5 to 15,Neutral,Male,5.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
94,59.0,Married,18.0,209.0,$75+,76.8,Luxury,High school degree,22.0,No,More than 15,Highly satisfied,Female,2.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
95,25.0,Married,5.0,27.0,$25 - $49,13.8,Economy,High school degree,2.0,No,Less than 5,Highly dissatisfied,Female,3.0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
96,63.0,Married,31.0,478.0,$75+,73.0,Luxury,Did not complete high school,45.0,No,More than 15,Somewhat satisfied,Male,2.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
97,41.0,Unmarried,8.0,49.0,$25 - $49,23.900000000000002,Standard,College degree,14.0,No,5 to 15,Somewhat dissatisfied,Male,2.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
98,66.0,Unmarried,24.0,30.0,$25 - $49,14.3,Economy,High school degree,1.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
99,20.0,Unmarried,1.0,36.0,$25 - $49,17.5,Standard,Some college,0.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
100,47.0,Married,21.0,62.0,$50 - $74,31.200000000000003,Luxury,Some college,5.0,No,5 to 15,Neutral,Male,3.0,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
101,42.0,Unmarried,9.0,49.0,$25 - $49,24.5,Standard,Did not complete high school,12.0,No,5 to 15,Neutral,Female,3.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
102,35.0,Married,5.0,49.0,$25 - $49,24.3,Standard,College degree,9.0,No,5 to 15,Somewhat satisfied,Female,4.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
103,24.0,Unmarried,2.0,23.0,Under $25,11.9,Economy,College degree,1.0,No,Less than 5,Neutral,Male,1.0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
104,22.0,Unmarried,3.0,23.0,Under $25,11.5,Economy,College degree,0.0,No,Less than 5,Neutral,Female,1.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
105,32.0,Married,12.0,59.0,$50 - $74,29.8,Standard,Post-undergraduate degree,5.0,No,5 to 15,Somewhat dissatisfied,Male,4.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
106,50.0,Married,20.0,58.0,$50 - $74,29.200000000000003,Standard,Did not complete high school,8.0,No,5 to 15,Highly satisfied,Male,2.0,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
107,44.0,Married,8.0,46.0,$25 - $49,23.200000000000003,Standard,Did not complete high school,18.0,No,More than 15,Somewhat satisfied,Male,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
108,32.0,Unmarried,12.0,31.0,$25 - $49,15.4,Standard,College degree,1.0,No,Less than 5,Highly dissatisfied,Male,2.0,Yes,Yes,No,No,,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
109,65.0,Unmarried,43.0,40.0,$25 - $49,20.900000000000002,Standard,Did not complete high school,10.0,No,5 to 15,Somewhat satisfied,Female,1.0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
110,47.0,Married,21.0,181.0,$75+,90.4,Luxury,High school degree,21.0,No,More than 15,Somewhat satisfied,Female,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
111,42.0,Unmarried,5.0,53.0,$50 - $74,25.400000000000002,Standard,College degree,6.0,No,5 to 15,Somewhat dissatisfied,Female,1.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
112,48.0,Unmarried,29.0,144.0,$75+,72.7,Luxury,High school degree,14.0,No,5 to 15,Somewhat dissatisfied,Female,1.0,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
113,29.0,Unmarried,4.0,22.0,Under $25,10.9,Economy,College degree,0.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
114,36.0,Unmarried,3.0,43.0,$25 - $49,20.200000000000003,Standard,High school degree,0.0,No,Less than 5,Highly dissatisfied,Male,2.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
115,34.0,Unmarried,15.0,23.0,Under $25,11.4,Economy,High school degree,4.0,No,Less than 5,Somewhat satisfied,Female,1.0,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
116,41.0,Unmarried,22.0,68.0,$50 - $74,34.300000000000004,Luxury,College degree,0.0,No,Less than 5,Highly dissatisfied,Female,2.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
117,26.0,Unmarried,6.0,41.0,$25 - $49,20.900000000000002,Standard,High school degree,0.0,No,Less than 5,Highly dissatisfied,Male,3.0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
118,25.0,Unmarried,6.0,23.0,Under $25,11.5,Economy,College degree,0.0,No,Less than 5,Highly dissatisfied,Male,2.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
119,53.0,Unmarried,23.0,145.0,$75+,70.9,Luxury,High school degree,29.0,No,More than 15,Highly satisfied,Male,1.0,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
120,32.0,Married,1.0,33.0,$25 - $49,16.8,Standard,High school degree,2.0,No,Less than 5,Neutral,Female,2.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
121,46.0,Unmarried,7.0,83.0,$75+,40.5,Luxury,High school degree,14.0,No,5 to 15,Somewhat dissatisfied,Female,3.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
122,44.0,Married,5.0,39.0,$25 - $49,19.200000000000003,Standard,Did not complete high school,17.0,No,More than 15,Highly satisfied,Female,6.0,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
123,39.0,Unmarried,17.0,42.0,$25 - $49,20.6,Standard,College degree,5.0,No,5 to 15,Highly dissatisfied,Female,1.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
